Size of Plot (sq. meters),Distance from Airport (km),Proximity to Main Road (km),Proximity to City Center (km),Land Price (GHS)
287.27005942368123,20.296322368059485,2.0983441136030097,12.77354579378964,5838.66357951872
575.3571532049581,8.487346516301045,5.456592191001432,10.426980635477918,5426.48350390594
465.99697090570254,12.303616213380455,1.3094966900369656,21.57475018303859,4055.9912010712496
399.3292420985183,14.159046082342293,9.18388361870904,12.135066533871786,497.46114154327375
178.00932022121827,16.4017496054259,3.3290198344001523,10.618690193747614,1784.9194882185147
177.99726016810132,24.62939903482534,6.962700559185838,15.85392166316497,648.1882644952757
129.04180608409973,9.991844553958995,3.8053996848046987,7.818484499495253,4403.08213054573
533.0880728874677,17.85586096034029,5.680612190600297,21.043939615080795,7195.998013941842
400.5575058716044,19.810364221551062,5.920392514089517,6.491012873595416,3882.3102224473446
454.03628889802275,6.161260317999943,2.6636900997297435,24.737738732010346,5677.9994292235615
110.29224714790122,20.18862129753596,9.726261649881026,20.444895385933147,768.9618471696849
584.9549260809972,9.263103092182288,7.976195410250031,8.974313630683447,664.2391914459133
516.2213204002109,6.6262898246319875,9.455490474077703,5.110442342472048,627.1757412160011
206.16955533913807,28.72213843133333,9.053446153848839,21.309228569096682,4935.639968011139
190.9124836035503,29.140800826863984,6.381099809299767,19.137146876952343,3836.4075492719703
191.7022549267169,25.209933702911528,9.296868115208051,19.580143360819747,4377.118688457772
252.12112147976887,12.615344229334267,1.7964325184672756,20.425406933718914,-1087.0820364714664
362.37821581611894,7.441802850159597,2.763845761772307,6.480893034681808,5167.420693959691
315.9725093210579,22.105825662803923,1.4070456001948426,12.169314570885453,5775.819997293527
245.61457009902097,16.003812343490033,3.927972976869379,7.317381190502594,3369.435779082228
